fecha,Calidad_del_agua_meteorología_Direccion_Viento,Calidad_del_agua_meteorología_Evaporacion,Calidad_del_agua_meteorología_Humedad,Calidad_del_agua_meteorología_Pluviometria,Calidad_del_agua_meteorología_Presion,Calidad_del_agua_meteorología_Punto_de_Rocio,Calidad_del_agua_meteorología_Radiacion_Solar,Calidad_del_agua_meteorología_Sensacion_Termica,Calidad_del_agua_meteorología_Temperatura,Calidad_del_agua_meteorología_Velocidad_Viento,Calidad_del_agua_sonda_paramétrica_Clorofila,Calidad_del_agua_sonda_paramétrica_Conductividad,Calidad_del_agua_sonda_paramétrica_Cota,Calidad_del_agua_sonda_paramétrica_Cota_embalse,Calidad_del_agua_sonda_paramétrica_Ficocianina,Calidad_del_agua_sonda_paramétrica_O2,Calidad_del_agua_sonda_paramétrica_OxigenoDisuelto,Calidad_del_agua_sonda_paramétrica_Perfil,Calidad_del_agua_sonda_paramétrica_Profundidad,Calidad_del_agua_sonda_paramétrica_Redox,Calidad_del_agua_sonda_paramétrica_Temperatura,Calidad_del_agua_sonda_paramétrica_Turbidez,Calidad_del_agua_sonda_paramétrica_fDOM,Constantes_de_Explotación_Constante_1,Constantes_de_Explotación_Constante_2,Constantes_de_Explotación_Constante_3,Constantes_de_Explotación_Constante_4,Constantes_de_Explotación_Constante_5,Constantes_de_Explotación_Constante_6,Constantes_de_Explotación_Constante_7,Datos_Manuales_DM_AF_MD_PA_MANUAL,Datos_Manuales_DM_AF_MD_PB_MANUAL,Datos_Manuales_DM_AF_MD_PM_MANUAL,Datos_Manuales_DM_AF_MI_PB_MANUAL,Datos_Manuales_DM_AF_MI_PMPA_MANUAL,Datos_Manuales_DM_NE_MANUAL,Datos_Manuales_DM_PZ_B6_MANUAL,Datos_Manuales_DM_PZ_B7_MANUAL,Datos_Manuales_DM_PZ_B8_MANUAL,Datos_Manuales_DM_PZ_B9_MANUAL,Datos_Manuales_DM_TLP5_R_MANUAL,Datos_Manuales_DM_TLP5_T_MANUAL,Datos_Manuales_DM_TLP9_R_MANUAL,Datos_Manuales_DM_TLP9_T_MANUAL,General_Ascenso_Nivel_Encoro,General_Caudal_Aliviadero,General_Caudal_Desague,General_Caudal_Entrada,General_Caudal_Evaporacion,General_Caudal_Salida,General_Caudal_Toma,General_Volumen,General_Volumen_x100,Meteorología_Direccion_Viento,Meteorología_Evaporacion,Meteorología_Humedad,Meteorología_Pluviometria,Meteorología_Presion,Meteorología_Punto_de_Rocio,Meteorología_Radiacion_Solar,Meteorología_Sensacion_Termica,Meteorología_Temperatura,Meteorología_Velocidad_Viento,fecha,caudal,desague,apertura
0,269.8497344470415,0.0,105.2168954317687,0.2688524635111699,1034.2468782018443,0.0,1453.75,0.0,12.79044171630359,1.7751262253074005,10.300000007335957,0.10000000149011612,27.86299011733506,31.99716605720939,10.266923055544005,0.05999999865889549,-0.7792307642789987,0.3626373626373626,4.134175783985263,7.736593387939117,12.455714299128605,1.3325274743876614,4.572747225289817,7.0,8.0,9.0,10.0,11.0,0.0,0.0,25.0,10.0,44.0,29.0,45.0,34.2599983215332,0.20999999344348907,0.20000000298023224,0.009963306598365307,-151999999901696.0,78.0,44.20000076293945,100.4000015258789,42.5,-0.03134790464441796,2.048579849180628,7.375662076668661,12.111714312287628,0.09957387261703367,9.464268621851186,0.04002686907522014,12.539093267722208,60.83275541712026,102.49104461501368,0.09868983863318553,89.06422149157915,0.34918033759124945,1027.1965251985143,0.0,-1722.9599609375,0.0,12.70537528053659,0.7125536425985762,2015-02-25T00:00:00.000+01:00,2.0493281224712,42.302350648113936,15.723303139209747
1,238.34057360887527,0.0,112.38548734452989,1.148610961313049,1030.386353386773,0.0,1453.75,0.0,11.795246885882484,0.8239997295087151,10.300000007335957,0.10000000149011612,27.86299011733506,31.99716605720939,10.266923055544005,0.05999999865889549,-0.7792307642789987,0.3626373626373626,4.134175783985263,7.736593387939117,12.455714299128605,1.3325274743876614,4.572747225289817,7.0,8.0,9.0,10.0,11.0,0.0,0.0,25.0,10.0,44.0,29.0,45.0,34.2599983215332,0.20999999344348907,0.20000000298023224,0.009963306598365307,-151999999901696.0,78.0,44.20000076293945,100.4000015258789,42.5,-0.02191936624876689,1.9942211334904034,7.369128376245499,11.02559300719036,0.14028696962769674,9.403233408927917,0.039883907625658646,12.479604932996962,60.54414553112454,151.69972018400827,0.051676431075773306,96.26470062467787,1.7284718152756493,1023.4388809204102,0.0,-1722.9599609375,0.0,11.708929187721676,0.24850586558588678,2015-02-26T00:00:00.000+01:00,1.9941166810329176,43.95956946826644,15.723303139209747
2,225.20472436481052,0.0,95.88617136743333,0.2506943490459687,1029.911395602756,0.0,1453.75,0.0,11.068753312031427,0.11865435792262563,10.300000007335957,0.10000000149011612,27.86299011733506,31.99716605720939,10.266923055544005,0.05999999865889549,-0.7792307642789987,0.3626373626373626,4.134175783985263,7.736593387939117,12.455714299128605,1.3325274743876614,4.572747225289817,7.0,8.0,9.0,10.0,11.0,0.0,0.0,25.0,10.0,44.0,29.0,45.0,34.2599983215332,0.20999999344348907,0.20000000298023224,0.009963306598365307,-151999999901696.0,78.0,44.20000076293945,100.4000015258789,42.5,-0.005956149554953704,1.973409856359164,7.366620550553004,11.004226957551307,0.26901991665525,9.379859599802229,0.0398292021256768,12.456840634346008,60.433705462349785,148.20393139123917,2.530527276918292,80.05039053493076,0.3854164884218739,1022.9376237657335,0.0,-1722.9599609375,0.0,9.904091000556946,0.21243353150526267,2015-02-27T00:00:00.000+01:00,1.9738243674962885,44.59071178154813,15.723303139209747
3,174.85207688146167,0.0,107.91145669089423,2.0034717498347163,1025.4368286132812,0.0,1453.75,0.0,12.374051425192091,0.932858331235669,10.300000007335957,0.10000000149011612,27.86299011733506,31.99716605720939,10.266923055544005,0.05999999865889549,-0.7792307642789987,0.3626373626373626,4.134175783985263,7.736593387939117,12.455714299128605,1.3325274743876614,4.572747225289817,7.0,8.0,9.0,10.0,11.0,0.0,0.0,25.0,10.0,44.0,29.0,45.0,34.2599983215332,0.20999999344348907,0.20000000298023224,0.009963306598365307,-151999999901696.0,78.0,44.20000076293945,100.4000015258789,42.5,-0.035145314997256115,1.9142782166600227,7.358236796326107,13.159891217947006,0.30382971988789603,9.312195320924124,0.0396803119737241,12.394885003566742,60.133129146364,185.02308415756045,2.901587409963314,89.52949465645685,3.185415325117194,1018.4649742974175,0.0,-1722.9599609375,0.0,12.55331900384691,0.5511744662394954,2015-02-28T00:00:00.000+01:00,1.9143427355318434,46.448511507776054,15.723303139209747
4,180.52445583873325,0.0,102.61120155122545,0.30486107860795325,1022.7378573947483,0.0,1453.75,0.0,14.415388458304935,0.8288222572106557,10.300000007335957,0.10000000149011612,27.86299011733506,31.99716605720939,10.266923055544005,0.05999999865889549,-0.7792307642789987,0.3626373626373626,4.134175783985263,7.736593387939117,12.455714299128605,1.3325274743876614,4.572747225289817,7.0,8.0,9.0,10.0,11.0,0.0,0.0,25.0,10.0,44.0,29.0,45.0,34.2599983215332,0.20999999344348907,0.20000000298023224,0.009963306598365307,-151999999901696.0,78.0,44.20000076293945,100.4000015258789,42.5,-0.028881497421631746,1.836216249399715,7.331904302040736,12.373259166979956,0.41302348584091914,9.20762832959493,0.03950795215658016,12.312947273254395,59.73561459117465,167.61700393093957,4.532618490746245,82.31899976730347,0.44930544521452653,1015.4302181667751,0.0,-1722.9599609375,0.0,14.714106513394249,0.8454186868491687,2015-03-01T00:00:00.000+01:00,1.8357874917694266,49.154387237297165,15.723303139209747
5,206.7303350104226,0.0,110.81454377704196,2.911804740110205,1024.537058936225,0.0,1453.75,0.0,13.432496090730032,0.18963597452643122,10.300000007335957,0.10000000149011612,27.86299011733506,31.99716605720939,10.266923055544005,0.05999999865889549,-0.7792307642789987,0.3626373626373626,4.134175783985263,7.736593387939117,12.455714299128605,1.3325274743876614,4.572747225289817,7.0,8.0,9.0,10.0,11.0,0.0,0.0,25.0,10.0,44.0,29.0,45.0,34.2599983215332,0.20999999344348907,0.20000000298023224,0.009963306598365307,-151999999901696.0,78.0,44.20000076293945,100.4000015258789,42.5,-0.016455438669557527,1.7669446402125888,7.334337472915649,12.453522488474846,0.22436966753977888,9.14069120089213,0.03940915445693665,12.241896675692665,59.39091364542643,173.7040223151497,0.3275045956381493,94.19388972388373,3.598609577709188,1017.3161841498481,0.0,-1722.9599609375,0.0,13.21388769812054,0.12158927624113858,2015-03-02T00:00:00.000+01:00,1.7669646976412172,51.6876887248622,15.723303139209747
6,247.1285498605834,0.0,111.08700678083632,5.786107651009742,1026.5363578796387,0.0,1453.75,0.0,11.458774679236942,0.198226122586574,10.300000007335957,0.10000000149011612,27.86299011733506,31.99716605720939,10.266923055544005,0.05999999865889549,-0.7792307642789987,0.3626373626373626,4.134175783985263,7.736593387939117,12.455714299128605,1.3325274743876614,4.572747225289817,7.0,8.0,9.0,10.0,11.0,0.0,0.0,25.0,10.0,44.0,29.0,45.0,34.2599983215332,0.20999999344348907,0.20000000298023224,0.009963306598365307,-151999999901696.0,78.0,44.20000076293945,100.4000015258789,42.5,0.0770363921803639,0.9806088470439944,7.3162750071949425,13.122109195838371,0.2366695326646651,8.336399939325121,0.03951614388885597,12.301767865816752,59.681377198961044,159.4735457110736,5.388506977508466,96.14190440707736,6.301385885052797,1019.557184431288,0.0,-1722.9599609375,0.0,10.722018447187212,0.17428725208931914,2015-03-03T00:00:00.000+01:00,0.9803668341806366,28.746986664831642,8.714554316467709
7,171.77843683751092,0.0,91.34556558397081,0.3249997893969218,1037.0374247233074,0.0,1453.75,0.0,9.98770210146904,0.9756582843547221,10.300000007335957,0.10000000149011612,27.86299011733506,31.99716605720939,10.266923055544005,0.05999999865889549,-0.7792307642789987,0.3626373626373626,4.134175783985263,7.736593387939117,12.455714299128605,1.3325274743876614,4.572747225289817,7.0,8.0,9.0,10.0,11.0,0.0,0.0,25.0,10.0,44.0,29.0,45.0,34.2599983215332,0.20999999344348907,0.20000000298023224,0.009963306598365307,-151999999901696.0,78.0,44.20000076293945,100.4000015258789,42.5,0.07207078669226677,0.0914673834728698,7.307035707765156,13.255361525548828,0.31803271439498026,7.438630753093296,0.040127721071864166,12.583542949623531,61.04839187198215,161.92288484672704,3.627624748045138,75.51916874779596,0.48124984294796985,1030.2425749037002,0.0,-1722.9599609375,0.0,9.069700443082386,0.397162507663274,2015-03-04T00:00:00.000+01:00,0.09144726576697496,1.8112253199021022,0.6597235798835754
8,176.80520052380032,0.0,85.29479739401076,0.0,1034.933241950141,0.0,1453.75,0.0,9.492890636954042,0.8062166323102752,10.300000007335957,0.10000000149011612,27.86299011733506,31.99716605720939,10.266923055544005,0.05999999865889549,-0.7792307642789987,0.3626373626373626,4.134175783985263,7.736593387939117,12.455714299128605,1.3325274743876614,4.572747225289817,7.0,8.0,9.0,10.0,11.0,0.0,0.0,25.0,10.0,44.0,29.0,45.0,34.2599983215332,0.20999999344348907,0.20000000298023224,0.009963306598365307,-151999999901696.0,78.0,44.20000076293945,100.4000015258789,42.5,0.03986239104900354,0.09835066263460451,7.327129022942649,11.712282409270605,0.23681547494561528,7.466050912936528,0.040571200583751,12.771693249543508,61.96119607819451,178.42964973217912,2.374224354926911,73.53092702229817,0.008333333457509676,1028.3313331604004,0.0,-1722.9599609375,0.0,8.37452987374531,0.38000293668463,2015-03-05T00:00:00.000+01:00,0.09839918974062635,1.6236612022750907,0.6613018572744396
9,201.65437730153403,0.0,79.44395764668782,0.0,1029.8518125745986,0.0,1453.75,0.0,11.914805503355133,0.4206653503804571,10.300000007335957,0.10000000149011612,27.86299011733506,31.99716605720939,10.266923055544005,0.05999999865889549,-0.7792307642789987,0.3626373626373626,4.134175783985263,7.736593387939117,12.455714299128605,1.3325274743876614,4.572747225289817,7.0,8.0,9.0,10.0,11.0,0.0,0.0,25.0,10.0,44.0,29.0,45.0,34.2599983215332,0.20999999344348907,0.20000000298023224,0.009963306598365307,-151999999901696.0,78.0,44.20000076293945,100.4000015258789,42.5,0.035434667232847356,0.10063362778681847,7.334827654891544,12.339072464137441,0.28218650259400924,7.476261264748043,0.04080014173976249,12.845000372992622,62.31684276792738,126.81179495279987,2.53436874033327,71.05813070138295,0.0,1023.1034605238173,0.0,-1722.9599609375,0.0,9.673453411294354,0.31280788521204766,2015-03-06T00:00:00.000+01:00,0.10062382887634966,1.5574645234478846,0.6597235798835754
